Category,Template,Priority (High/Medium/Low),Status (Not Started/In Progress/Done),Owner,Notes
Social Media,Instagram Carousels,,,
Social Media,Story Templates,,,
Social Media,Facebook/LinkedIn Banners,,,
Social Media,YouTube Thumbnails,,,
Documents,Company Brochure,,,
Documents,Property Factsheets,,,
Documents,Investment Proposals,,,
Documents,Listing Presentations,,,
Communications,Newsletter Templates,,,
Communications,Email Signatures,,,
Communications,Welcome Packs,,,
Communications,Client Reports,,,
Presentations,Pitch Decks,,,
Presentations,Market Reports,,,
Presentations,Investor Briefings,,,
Presentations,Meeting Agendas,,,
Marketing,Property Flyers,,,
Marketing,Event Invitations,,,
Marketing,Open House Materials,,,
Marketing,Market Update Cards,,,
Digital Ads,Meta Ad Creatives,,,
Digital Ads,Google Display Ads,,,
Digital Ads,Retargeting Banners,,,
Digital Ads,Portal Listings,,,
Guides,Area Guides,,,
Guides,Golden Visa Guide,,,
Guides,Investor Guides,,,
Guides,Buyer Handbooks,,,
Internal,Onboarding Docs,,,
Internal,Team Playbooks,,,
Internal,Brand Guidelines,,,
Internal,SOPs & Checklists,,,
